Action,Date,Ad Title/Id,Page/App
Impression,2025/11/25,919052893,ntp.msn.com
Impression,2025/11/25,919395064,ntp.msn.com
Impression,2025/11/25,933952713,ntp.msn.com
Impression,2025/11/25,941438363,ntp.msn.com
Impression,2025/11/26,933952713,ntp.msn.com
Impression,2025/11/26,969204553,ntp.msn.com
Impression,2025/11/26,970250623,ntp.msn.com
Impression,2025/11/27,919395064,ntp.msn.com
Impression,2025/11/27,932210553,ntp.msn.com
Impression,2025/11/27,942178723,ntp.msn.com
Impression,2025/11/27,970250623,ntp.msn.com
Impression,2025/12/01,969787713,ntp.msn.com
Impression,2025/12/03,942178723,ntp.msn.com
Impression,2026/01/27,1115212793,msn.com
Impression,2026/01/27,1127283014,msn.com
Impression,2026/01/29,1163981933,ntp.msn.com
Impression,2026/01/30,1163981933,ntp.msn.com
Impression,2026/02/02,1115212793,ntp.msn.com
Impression,2026/02/02,1116783833,ntp.msn.com
Impression,2026/02/02,1166898173,ntp.msn.com
Impression,2026/02/04,1115212793,ntp.msn.com
Impression,2026/02/06,1170693063,ntp.msn.com
Impression,2026/02/06,1173691623,ntp.msn.com
Impression,2026/02/12,1170300433,ntp.msn.com
Impression,2026/04/03,1175101193,Cambridge Dictionaries Online MWeb
Impression,2026/04/03,1384456446,Cambridge Dictionaries Online MWeb
