Question,Answer
How many years of work experience do you have with Product Management?,4
How many years of work experience do you have with Enterprise Information Systems?,5
How many years of HCPR experience do you currently have?,0
How many years of work experience do you have with Relational Databases?,10
How many years of urn:li:industry:102 experience do you currently have?,0
Are you legally authorized to work in ch?,No
Are you legally authorized to work in the United States?,No
How many years of work experience do you have with Test Strategy?,0
Cover letter,
How many years of urn:li:industry:25 experience do you currently have?,5
How many years of work experience do you have with Infrastructure?,0
How many years of work experience do you have with Google Analytics?,0
How many years of work experience do you have with SAP Products?,6
How many years of work experience do you have with Continuous Improvement?,5
How many years of work experience do you have with Figma (Software)?,5
Do you speak Italian?,No
How many years of work experience do you have with Microsoft Word?,10
How many years of work experience do you have with Microsoft Dynamics?,0
Description,
How many years of work experience do you have with JSON?,0
How many years of work experience do you have with SQL?,1
Do you speak Spanish?,No
Major / Field of study,
Are you comfortable working in a hybrid setting?,No
What is your level of proficiency in ron?,None
What is your level of proficiency in fre?,None
Do you speak Hungarian?,No
How many years of CUST experience do you currently have?,0
How many years of work experience do you have with BPMN?,5
How many years of work experience do you have with Unified Modeling Language (UML)?,1
Do you speak German?,No
How many years of work experience do you have with Business Process?,0
How many years of urn:li:industry:69 experience do you currently have?,2
Do you have the following license or certification: Lean Six Sigma Green Belt?,No
How many years of work experience do you have with .NET Framework?,0
How many years of work experience do you have with Strategic Planning?,5
Do you have the following license or certification: Project Management Professional?,No
Do you have the following license or certification: PRINCE2® 2017 Practitioner?,No
State / Province,
How many years of PRJM experience do you currently have?,4
First name,
How many years of work experience do you have with SOLIDWORKS?,0
How many years of CNSL experience do you currently have?,4
How many years of work experience do you have with Communication?,5
How many years of work experience do you have with PHP?,0
How many years of work experience do you have with SharePoint?,10
Please submit a resume or LinkedIn profile, -535089552.docx
How many years of work experience do you have with IBM iSeries?,0
Do you speak Chinese?,Yes
Do you have the following license or certification: PRINCE2 Agile® Foundation & Practitioner?,No
What is your level of proficiency in pol?,Conversational
Company,
"Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?",Yes
Do you have the following license or certification: PRINCE2® Foundation Certification Training?,No
Do you speak Indonesian?,No
Are you legally authorized to work in gb?,No
Last name,
Do you speak Finnish?,No
How many years of work experience do you have with React.js?,0
How many years of work experience do you have with Medical Devices?,0
Do you have the following license or certification: Advanced Certified Scrum Product Owner?,No
How many years of work experience do you have with Localization?,0
Degree,
Do you speak Portuguese?,No
How many years of work experience do you have with Avaloq Banking Suite?,0
How many years of work experience do you have with Business Process Management?,4
How many years of work experience do you have with Microsoft Products?,10
How many years of work experience do you have with Stakeholder Management?,10
How many years of urn:li:industry:143 experience do you currently have?,0
How many years of work experience do you have with Process Scheduler?,3
How many years of work experience do you have with Salesforce.com?,0
How many years of ANLS experience do you currently have?,10
How many years of work experience do you have with Microsoft Office?,10
How many years of work experience do you have with RAID?,0
Do you have the following license or certification: Scaled Scrum Product Owner Certified?,Yes
How many years of work experience do you have with Minitab?,0
How many years of work experience do you have with Product Strategy?,5
How many years of ACCT experience do you currently have?,10
Your title,
How many years of work experience do you have with User Stories?,2
Do you have the following license or certification: Certified Public Accountant?,Yes
"Are you willing to undergo a background check, in accordance with local law/regulations?",Yes
Do you have the following license or certification: Microsoft Certified Application Specialist: Using Microsoft Office Excel 2007?,No
Do you have the following license or certification: Medical Exercise Specialist?,No
What is your level of proficiency in ita?,None
Are you legally authorized to work in at?,No
How many years of urn:li:industry:4 experience do you currently have?,2
How many years of urn:li:industry:53 experience do you currently have?,10
How many years of work experience do you have with Project Management Office (PMO)?,5
Do you have the following license or certification: Behavior Change Specialization?,No
How many years of work experience do you have with XML?,0
