Date,Link,OptionText
2026-05-22 17:02:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:7463454377865838592,No
2026-02-20 18:54:15,https://www.linkedin.com/feed/update/urn:li:ugcPost:7430577437740113920,AI Decay
2026-02-10 11:14:01,https://www.linkedin.com/feed/update/urn:li:ugcPost:7424831820086788096,"Billing, claims, audits"
2026-02-05 19:26:39,https://www.linkedin.com/feed/update/urn:li:ugcPost:7425167861142147072,Buy the dip 📉
2026-01-23 11:50:13,https://www.linkedin.com/feed/update/urn:li:ugcPost:7420182376443719680,After 2 years of service
2025-12-31 14:06:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:7412110973865590784,Disagree
2025-12-15 17:11:34,https://www.linkedin.com/feed/update/urn:li:ugcPost:7406351787764621312,Mid-morning (8–11 AM)
2025-10-05 11:51:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:7379831717886586880,AI is crucial for growth
2025-10-05 11:44:47,https://www.linkedin.com/feed/update/urn:li:ugcPost:7378411118215524352,AI hallucinations
2025-09-29 14:12:29,https://www.linkedin.com/feed/update/urn:li:ugcPost:7378346561786949632,Mindset
2025-09-11 09:05:09,https://www.linkedin.com/feed/update/urn:li:ugcPost:7366489383207718912,Paper road map 🗺️
2025-09-10 10:29:36,https://www.linkedin.com/feed/update/urn:li:ugcPost:7371149902942212097,Nie
2025-08-30 11:10:18,https://www.linkedin.com/feed/update/urn:li:ugcPost:7366433161179803649,Yes
2025-06-18 07:44:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:7339670091472523264,Still buying (nervously)
2025-06-12 09:30:23,https://www.linkedin.com/feed/update/urn:li:ugcPost:7337741407144603649,"Yes, plenty of time"
2025-06-04 13:19:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:7333492164972191745,Product managers
2025-05-31 18:40:40,https://www.linkedin.com/feed/update/urn:li:ugcPost:7330067751069175808,Somewhat confident
2025-05-19 12:01:15,https://www.linkedin.com/feed/update/urn:li:ugcPost:7329531465258491906,Bitcoin
2025-05-06 17:49:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:7325002601974947840,Build projects early
2025-05-04 13:37:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:7324462253636771840,Nope
2025-05-03 20:26:54,https://www.linkedin.com/feed/update/urn:li:groupPost:81780-7323277020321202177,Product Team
2025-05-03 12:58:15,https://www.linkedin.com/feed/update/urn:li:ugcPost:7324120635515777024,Huh?
2025-05-03 08:57:14,https://www.linkedin.com/feed/update/urn:li:ugcPost:7322637489926529024,It's just a fun trend 🤪
2025-04-25 15:17:39,https://www.linkedin.com/feed/update/urn:li:ugcPost:7317385091024908288,Yes
2025-04-13 13:39:34,https://www.linkedin.com/feed/update/urn:li:ugcPost:7313601222580600834,"No, I haven’t tried"
2025-04-07 10:56:39,https://www.linkedin.com/feed/update/urn:li:ugcPost:7311120670053052416,Constantly
