Question,Answer
How many years of work experience do you have with Internet Explorer?,20
Are you legally authorized to work in fr?,No
How many years of BD experience do you currently have?,3
Do you have the following license or certification: Lean Six Sigma Yellow Belt Certification?,Yes
How many years of work experience do you have with WebSphere?,0
How many years of work experience do you have with IPMA?,0
Do you have the following license or certification: Certified ScrumMaster?,No
How many years of work experience do you have with Business Portfolio Management?,6
How many years of work experience do you have with Java?,0
How many years of work experience do you have with Organization Skills?,10
How many years of PRDM experience do you currently have?,4
How many years of work experience do you have with DevOps?,4
Do you speak Ukrainian?,Yes
How many years of FIN experience do you currently have?,10
How many years of work experience do you have with Cisco Systems Products?,0
How many years of work experience do you have with Hyperion?,8
How many years of urn:li:industry:75 experience do you currently have?,0
How many years of work experience do you have with Business Development?,5
Do you have the following license or certification: Lean Six Sigma Black Belt?,No
Do you speak Norwegian?,No
Description,
Major / Field of study,
What is your level of proficiency in chi?,Conversational
Do you have the following license or certification: Scrum Master Certificate of Proficiency?,No
How many years of work experience do you have with Microsoft Excel?,10
Are you legally authorized to work in tw?,No
Are you legally authorized to work in PL?,Yes
How many years of work experience do you have with Presales?,0
Do you speak Russian?,Yes
How many years of work experience do you have with Jenkins?,0
How many years of work experience do you have with Databases?,10
How many years of work experience do you have with Tableau?,0
How many years of work experience do you have with R (Programming Language)?,0
Do you have the following license or certification: Lean Six Sigma Green Belt Certification?,No
How many years of work experience do you have with Adobe Creative Suite?,0
Are you legally authorized to work in ie?,No
How many years of work experience do you have with Marketing?,1
Are you legally authorized to work in sa?,No
Do you have the following license or certification: Scrum Alliance Certified Scrum Professional?,No
How many years of urn:li:industry:23 experience do you currently have?,3
Are you legally authorized to work in cz?,No
First name,
How many years of work experience do you have with InVision?,0
What is your level of proficiency in spa?,None
How many years of work experience do you have with Test Automation?,0
Do you have the following license or certification: Master Certified Executive Housekeeper?,No
How many years of work experience do you have with Lead?,0
How many years of work experience do you have with Microsoft Azure?,4
School,
How many years of work experience do you have with Software Development?,1
Do you speak English?,Yes
City,
How many years of work experience do you have with Global Product Management?,5
How many years of work experience do you have with IT Integration?,2
Do you have the following license or certification: PRINCE2® 2009 Certifications?,No
Do you speak Dutch?,No
How many years of urn:li:industry:46 experience do you currently have?,0
How many years of work experience do you have with Finance?,10
How many years of work experience do you have with MATLAB?,0
How many years of work experience do you have with Management?,4
How many years of work experience do you have with Waterfall Project Management?,5
How many years of work experience do you have with Business Support Systems (BSS)?,10
Company,
What is your level of proficiency in tha?,None
Do you speak Polish?,Yes
Country,
Do you speak French?,No
What is your level of proficiency in ces?,None
How many years of MGMT experience do you currently have?,5
How many years of urn:li:industry:15 experience do you currently have?,1
How many years of work experience do you have with Software Engineering Practices?,5
Degree,
How many years of work experience do you have with IBM SPSS?,0
How many years of work experience do you have with SAP ERP?,10
How many years of work experience do you have with Quality Assurance?,0
How many years of GENB experience do you currently have?,10
How many years of urn:li:industry:123 experience do you currently have?,5
How many years of work experience do you have with Balsamiq?,0
How many years of work experience do you have with Visual Basic for Applications (VBA)?,10
Your title,
How many years of work experience do you have with C++?,0
How many years of work experience do you have with jQuery?,0
Do you have the following license or certification: Certified Project Manager?,No
How many years of urn:li:industry:31 experience do you currently have?,0
How many years of work experience do you have with Warehouse Management Systems?,0
Street address line 1,
How many years of work experience do you have with iOS?,10
How many years of work experience do you have with Large-scale Projects?,5
How many years of work experience do you have with Portfolio Management?,1
How many years of work experience do you have with Microsoft Power BI?,0
