Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2026-05-23 05:09:23,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7463818338842943489,"When I lived in China 🇨🇳 and travelled to another city, I had to buy bus or train tickets using my passport, so the government generally knew where I was. Even when ordering a taxi through a mobile app, my location could still be traced because SIM cards were registered using a passport.""
""""
""So yes — there is a system designed to know who is where.""
""""
""But let me tell you something:""
""""
""1. I’ve travelled a lot, and I never felt safer than I did in China.""
""2. If you are a law-abiding citizen, how much does this level of tracking actually change your day-to-day life?""
""3. Many Western countries already have similar practices. For example, in Poland 🇵🇱 I need to show ID when travelling by train and also register a SIM card using passport.""
""4. Back in 2011, the UK 🇬🇧 had the highest numbers of CCTV cameras per person in the world! Yet when I was attacked and stabbed near King’s Cross Station in broad daylight (under three cameras), there were no recordings available in court, and the attacker walked free.""
""""
""My takeaway: surveillance itself is not bad by default. What matters is intent, accountability, and whether the system actually improves public safety.""
""""
""Article: https://lnkd.in/dGDByzPZ""
""""
""P.S. Foreigners (老外) in China are often among the most vulnerable groups: many do not speak or read the local language, have limited understanding of local customs and traditions, and can easily get themselves into trouble because of it. So no wonder the big brother is watching them with extra care.""
"".""
""""
""#security #surveillance #privacy #safety","","",MEMBER_NETWORK
2026-05-20 12:03:37,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7462835420050001922,"Just completed the SAP Enterprise Architecture Methodology Foundation course.""
""Not surprisingly, SAP builds on TOGAF rather than reinventing the wheel 🛞. SAP EA Framework is TOGAF on SAP ""steroids"", refined with own tools and services, so it is more practical and applicable to real-world scenarios (works for me nicely).""
""The focus is on clear business and technology domains, well-defined artifacts, and the way everything is connected and structured end-to-end. Nice job!""
""""
""#EnterpriseArchitecture #SAP #TOGAF #DigitalTransformation",https://www.credly.com/badges/38649230-6445-4e9b-a73a-16330d75d9ca/linked_in?t=tfc460,"",MEMBER_NETWORK
2026-05-17 15:51:54,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7461805708758429696,"I just completed an #MCP (Model Context Protocol) course by Anthropic.""
""While I may not be building my own AI agents anytime soon, the course gave me a much better understanding of AI agent integrations and the broader AI ecosystem.""
""It was especially interesting to see how MCP can standardize interactions between AI models, tools, workflows, and enterprise systems.""
""""
""#Agents #Automation #Workflow #ProductManagement","","",MEMBER_NETWORK
2026-05-14 16:00:52,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7460720802569760768,"I’ve tried multiple coding copilots, but most of them were tightly integrated into code editors (IDEs).""
""I recently completed a Claude Code 101 course, and it was an interesting experience to learn and practice using an agentic coding tool via the CLI.""
""It felt like going back into the 80s but still fun :)""
""""
""#AI #DeveloperTools #Claude #Copilot","","",MEMBER_NETWORK
2026-05-13 13:41:31,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7460323341753806848,"The best security work is often invisible but absolutely critical.""
""A huge shoutout to Govinda, Chawali, Ranjith and Vipin for driving access management and SAP security changes while keeping governance, controls, and stability front and center.""
""Quietly protecting the foundation while the transformation moves forward.""
""""
""#CyberSecurity #SAPSecurity #Governance #SAPGRC #Haleon","","",MEMBER_NETWORK
2026-05-11 07:49:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7459509912432386048,"Large transformations only move forward when business, testing, compliance, and program leadership stay aligned.""
""Massive appreciation to Martin, Richard, Łukasz, Jayachandra, and K V Yogesh for keeping momentum high, asking the tough questions, and making sure execution stays grounded in real business value.""
""A lot of coordination. A lot of complexity. One team mindset.""
""""
""#Leadership #Testing #Compliance #BusinessTransformation #Haleon","","",MEMBER_NETWORK
2026-05-11 07:43:12,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7459508392936554496,"Transformation programs are powered by people who can connect business vision with technology reality.""
""Big thanks to Anand, Chaitanya, Meghana, Patrícia, and Paul for driving product changes across financial consolidation, management reporting and supply chain solutions.""
""Different products. Different challenges. One shared mindset: making things work together.""
""""
""#ProductManagement #SAP #PowerBI #Azure #Teamwork #Haleon","","",MEMBER_NETWORK
2026-05-11 07:40:14,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7459507648149860352,"Behind every successful transformation, there’s a team quietly making the impossible look structured, scalable, and reliable.""
""Huge appreciation to our SAP BW team: Babu, Naga, Vijaya, for navigating complex changes with focus, resilience, and technical excellence.""
""The number of moving parts is massive, but this team keeps pushing forward with calm energy and deep expertise.""
""""
""#Teamwork #SAPBW #Transformation #Haleon","","",MEMBER_NETWORK
2026-05-08 15:01:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7458531444622163969,It was extremely interesting path and I particularly enjoyed learning how Camunda integrates with SAP and how processes are being assessed and optimized.,https://www.credly.com/badges/4c13c131-c8d9-49d6-9b2c-11bcaf962ea5/linked_in?t=teq4dw,"",MEMBER_NETWORK
2026-05-04 15:07:15,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7457083429273194497,"When did we switch from “humans delegating tasks to AI” to “AI delegating tasks to humans”?!""
""""
""I was watching a Hannah Fry video (“An absolute liability”) this morning and genuinely had a wow 🤯 moment.""
""""
""There is a platform RentAHuman.ai where AI agents can outsource tasks to humans.""
""""
""Feels like I fell asleep in 2026 and woke up in 2050.""
""""
""🎥 Video: https://lnkd.in/dyrfX7xQ""
""""
""#ai #agents #automation #orchestration","","",MEMBER_NETWORK
